#token,count,percentage
* * *,36,0.01648352
one of the,4,0.00183150
"alice to herself,",3,0.00137363
but it was,3,0.00137363
came upon a,3,0.00137363
she came upon,3,0.00137363
she could not,3,0.00137363
she tried to,3,0.00137363
that she was,3,0.00137363
there was nothing,3,0.00137363
to get out,3,0.00137363
was not a,3,0.00137363
a moment to,2,0.00091575
alice was not,2,0.00091575
and she tried,2,0.00091575
and when she,2,0.00091575
at any rate,2,0.00091575
back to the,2,0.00091575
do cats eat,2,0.00091575
"down, down, down.",2,0.00091575
for she had,2,0.00091575
"for, you see,",2,0.00091575
get out again.,2,0.00091575
"golden key, and",2,0.00091575
herself in a,2,0.00091575
i wonder what,2,0.00091575
if it makes,2,0.00091575
in time to,2,0.00091575
it makes me,2,0.00091575
it was all,2,0.00091575
it was too,2,0.00091575
just in time,2,0.00091575
makes me grow,2,0.00091575
no use in,2,0.00091575
not a moment,2,0.00091575
said alice to,2,0.00091575
she found herself,2,0.00091575
she found she,2,0.00091575
she had never,2,0.00091575
she was now,2,0.00091575
she went back,2,0.00091575
that alice had,2,0.00091575
the little golden,2,0.00091575
the top of,2,0.00091575
"thought poor alice,",2,0.00091575
to be two,2,0.00091575
to her great,2,0.00091575
up like a,2,0.00091575
very soon finished,2,0.00091575
was going to,2,0.00091575
was just in,2,0.00091575
went back to,2,0.00091575
“i must be,2,0.00091575
(alice had no,1,0.00045788
(and she tried,1,0.00045788
(as well as,1,0.00045788
(dinah was the,1,0.00045788
"(for, you see,",1,0.00045788
"(it had, in",1,0.00045788
(she was rather,1,0.00045788
(though she very,1,0.00045788
(when she thought,1,0.00045788
(which was very,1,0.00045788
(“which certainly was,1,0.00045788
* * “what,1,0.00045788
* “what a,1,0.00045788
_curtseying_ as you’re,1,0.00045788
_never_ come to,1,0.00045788
"_not_ marked “poison,”",1,0.00045788
_one_ respectable person!”,1,0.00045788
_that_ in a,1,0.00045788
_through_ the earth!,1,0.00045788
_took a watch,1,0.00045788
_very_ deeply with,1,0.00045788
_very_ good opportunity,1,0.00045788
_very_ much out,1,0.00045788
_very_ remarkable in,1,0.00045788
_was_ no one,1,0.00045788
_would_ not remember,1,0.00045788
a _very_ good,1,0.00045788
"a bat, and",1,0.00045788
a bat?” when,1,0.00045788
"a bit hurt,",1,0.00045788
a book of,1,0.00045788
"a book,” thought",1,0.00045788
a bottle marked,1,0.00045788
a candle is,1,0.00045788
a candle. i,1,0.00045788
"a corner, “oh",1,0.00045788
a curious feeling!”,1,0.00045788
a daisy-chain would,1,0.00045788
a dreamy sort,1,0.00045788
a fall as,1,0.00045788
a few minutes,1,0.00045788
a game of,1,0.00045788
a heap of,1,0.00045788
"a hurry. “no,",1,0.00045788
a jar from,1,0.00045788
"a knife, it",1,0.00045788
a large rabbit-hole,1,0.00045788
"a little bit,",1,0.00045788
a little bottle,1,0.00045788
a little door,1,0.00045788
a little glass,1,0.00045788
a little nervous,1,0.00045788
a little three-legged,1,0.00045788
"a long, low",1,0.00045788
a low curtain,1,0.00045788
a moment: she,1,0.00045788
"a mouse, you",1,0.00045788
"a paper label,",1,0.00045788
a rabbit with,1,0.00045788
a rat-hole: she,1,0.00045788
a red-hot poker,1,0.00045788
a row of,1,0.00045788
"a small passage,",1,0.00045788
a sort of,1,0.00045788
a telescope! i,1,0.00045788
a telescope.” and,1,0.00045788
a thing. after,1,0.00045788
a tiny golden,1,0.00045788
a tunnel for,1,0.00045788
a very deep,1,0.00045788
a very small,1,0.00045788
"a waistcoat-pocket, or",1,0.00045788
a watch out,1,0.00045788
a watch to,1,0.00045788
"a while, finding",1,0.00045788
a white rabbit,1,0.00045788
about among those,1,0.00045788
about children who,1,0.00045788
about fifteen inches,1,0.00045788
about her and,1,0.00045788
"about it, even",1,0.00045788
about stopping herself,1,0.00045788
about the right,1,0.00045788
about this; “for,1,0.00045788
across her mind,1,0.00045788
across the field,1,0.00045788
actually _took a,1,0.00045788
"advice, (though she",1,0.00045788
advise you to,1,0.00045788
"afraid, but you",1,0.00045788
"after a while,",1,0.00045788
"after it, and",1,0.00045788
"after it, never",1,0.00045788
after the candle,1,0.00045788
"afterwards, it occurred",1,0.00045788
again. suddenly she,1,0.00045788
again. the rabbit-hole,1,0.00045788
again. “dinah’ll miss,1,0.00045788
again. “i wonder,1,0.00045788
"against herself, for",1,0.00045788
air! do you,1,0.00045788
"air, i’m afraid,",1,0.00045788
alas for poor,1,0.00045788
alas! either the,1,0.00045788
"alice after it,",1,0.00045788
alice began to,1,0.00045788
alice had been,1,0.00045788
alice had begun,1,0.00045788
alice had got,1,0.00045788
alice had learnt,1,0.00045788
alice had not,1,0.00045788
alice like the,1,0.00045788
alice opened the,1,0.00045788
alice soon began,1,0.00045788
alice started to,1,0.00045788
alice think it,1,0.00045788
alice ventured to,1,0.00045788
alice was beginning,1,0.00045788
alice “without pictures,1,0.00045788
alice! when she,1,0.00045788
"alice, “and if",1,0.00045788
"alice, “it would",1,0.00045788
"alice, “to pretend",1,0.00045788
"alice,) and round",1,0.00045788
alice; “i must,1,0.00045788
alice’s first thought,1,0.00045788
all because they,1,0.00045788
all dark overhead;,1,0.00045788
all locked; and,1,0.00045788
all made of,1,0.00045788
all round the,1,0.00045788
all seemed quite,1,0.00045788
all the right,1,0.00045788
all the way,1,0.00045788
all think me,1,0.00045788
all very well,1,0.00045788
almost certain to,1,0.00045788
along the passage,1,0.00045788
aloud. “i must,1,0.00045788
"altogether, like a",1,0.00045788
among the people,1,0.00045788
among those beds,1,0.00045788
an end? “i,1,0.00045788
an ignorant little,1,0.00045788
and alice’s first,1,0.00045788
and behind it,1,0.00045788
and book-shelves; here,1,0.00045788
and burning with,1,0.00045788
"and cried. “come,",1,0.00045788
"and dry leaves,",1,0.00045788
and eaten up,1,0.00045788
and finding it,1,0.00045788
and fortunately was,1,0.00045788
and found in,1,0.00045788
and found that,1,0.00045788
and had just,1,0.00045788
and her face,1,0.00045788
and here alice,1,0.00045788
and hot buttered,1,0.00045788
and i don’t,1,0.00045788
and if it,1,0.00045788
and looked along,1,0.00045788
and looked at,1,0.00045788
and make out,1,0.00045788
and noticed that,1,0.00045788
and of having,1,0.00045788
and once she,1,0.00045788
and other unpleasant,1,0.00045788
and picking the,1,0.00045788
and pictures hung,1,0.00045788
and round the,1,0.00045788
and said anxiously,1,0.00045788
and saying to,1,0.00045788
and she had,1,0.00045788
and she jumped,1,0.00045788
and she was,1,0.00045788
and so it,1,0.00045788
and sometimes she,1,0.00045788
"and sometimes, “do",1,0.00045788
